order_id,customer_id,product,category,quantity,unit_price,sales,profit,date,region,discount_pct
ORD01589,CUST0117,Yoga Mat Premium,Sports,5,1620.0,8100.0,1848.75,2023-01-16,West,10.0
ORD00837,CUST0148,Python Mastery,Books,2,750,1500,471.52,2023-01-17,South,0
ORD01062,CUST0182,Protein Shaker,Sports,5,450,2250,806.3,2023-01-17,East,0
ORD01068,CUST0045,Business Analytics,Books,2,580,1160,392.27,2023-01-17,South,0
ORD01401,CUST0113,Foam Roller,Sports,2,950,1900,418.98,2023-01-18,North,0
ORD01711,CUST0279,Air Fryer Deluxe,Home & Kitchen,2,6375.0,12750.0,3724.28,2023-01-18,East,15.0
ORD01754,CUST0278,Air Fryer Deluxe,Home & Kitchen,2,7500,15000,3802.99,2023-01-18,East,0
ORD01222,CUST0072,Winter Jacket,Clothing,3,4640.0,13920.0,3929.24,2023-01-19,West,20.0
ORD00276,CUST0125,Python Mastery,Books,5,637.5,3187.5,1026.31,2023-01-20,North,15.0
ORD00609,CUST0101,Sports Shorts,Clothing,1,765.0,765.0,202.79,2023-01-20,East,15.0
ORD00712,CUST0233,Protein Shaker,Sports,5,427.5,2137.5,752.52,2023-01-20,North,5.0
ORD01122,CUST0292,Yoga Mat Premium,Sports,2,1440.0,2880.0,880.27,2023-01-20,Central,20.0
ORD00506,CUST0116,Cotton T-Shirt Pack,Clothing,3,1020.0,3060.0,1015.62,2023-01-21,South,15.0
ORD01145,CUST0237,Laptop Pro X1,Electronics,2,80750.0,161500.0,13071.22,2023-01-21,East,5.0
ORD01666,CUST0111,Blender 1000W,Home & Kitchen,2,3500,7000,1437.88,2023-01-21,Central,0
ORD01993,CUST0070,Laptop Pro X1,Electronics,4,80750.0,323000.0,41243.23,2023-01-21,West,5.0
ORD01994,CUST0226,Protein Shaker,Sports,5,450,2250,676.17,2023-01-21,Central,0
ORD00189,CUST0294,Jump Rope Pro,Sports,4,380,1520,365.91,2023-01-22,West,0
ORD01349,CUST0257,Blender 1000W,Home & Kitchen,2,3500,7000,2405.56,2023-01-22,West,0
ORD01987,CUST0272,Bed Sheet Set,Home & Kitchen,1,2240.0,2240.0,469.96,2023-01-22,North,20.0
ORD00923,CUST0216,Business Analytics,Books,1,580,580,195.93,2023-01-23,West,0
ORD01070,CUST0045,Resistance Bands Set,Sports,4,1200,4800,1465.53,2023-01-23,East,0
ORD01151,CUST0117,Bed Sheet Set,Home & Kitchen,3,2800,8400,2748.06,2023-01-24,Central,0
ORD01439,CUST0221,Smart Watch Series 5,Electronics,2,22000,44000,4450.57,2023-01-24,West,0
ORD01772,CUST0086,Foam Roller,Sports,3,855.0,2565.0,763.54,2023-01-24,Central,10.0
ORD00861,CUST0180,USB-C Hub,Electronics,3,3200,9600,953.36,2023-01-25,South,0
ORD01320,CUST0215,Resistance Bands Set,Sports,3,960.0,2880.0,858.39,2023-01-27,South,20.0
ORD01459,CUST0213,Non-stick Cookware Set,Home & Kitchen,1,6460.0,6460.0,1323.66,2023-01-27,South,5.0
ORD01464,CUST0284,Business Analytics,Books,3,580,1740,554.45,2023-01-27,South,0
ORD01585,CUST0245,Blender 1000W,Home & Kitchen,2,3500,7000,2377.81,2023-01-27,East,0
ORD00079,CUST0274,Sports Shorts,Clothing,4,810.0,3240.0,1175.73,2023-01-28,North,10.0
ORD01847,CUST0218,Coffee Maker Pro,Home & Kitchen,2,4200,8400,2653.16,2023-01-28,East,0
ORD01227,CUST0192,Cotton T-Shirt Pack,Clothing,2,1200,2400,607.7,2023-01-29,South,0
ORD01281,CUST0088,Cotton T-Shirt Pack,Clothing,1,1140.0,1140.0,511.49,2023-01-30,North,5.0
ORD01732,CUST0216,Yoga Mat Premium,Sports,3,1620.0,4860.0,1419.78,2023-01-30,West,10.0
ORD00165,CUST0023,Resistance Bands Set,Sports,3,1140.0,3420.0,1148.44,2023-02-01,Central,5.0
ORD01202,CUST0154,Machine Learning A-Z,Books,5,820,4100,1695.41,2023-02-02,East,0
ORD00238,CUST0121,Slim Fit Jeans,Clothing,3,2090.0,6270.0,2758.13,2023-02-03,East,5.0
ORD00343,CUST0024,Business Analytics,Books,3,522.0,1566.0,646.29,2023-02-03,North,10.0
ORD01416,CUST0006,Wireless Headphones,Electronics,2,7650.0,15300.0,1532.64,2023-02-03,East,10.0
ORD00841,CUST0257,Python Mastery,Books,4,675.0,2700.0,1121.23,2023-02-04,East,10.0
ORD01597,CUST0226,Wireless Headphones,Electronics,1,8500,8500,1104.07,2023-02-04,West,0
ORD01870,CUST0025,USB-C Hub,Electronics,2,3200,6400,603.49,2023-02-04,South,0
ORD00237,CUST0016,Resistance Bands Set,Sports,5,1020.0,5100.0,1839.24,2023-02-05,South,15.0
ORD01224,CUST0140,Laptop Pro X1,Electronics,4,85000,340000,33249.97,2023-02-05,South,0
ORD00787,CUST0288,Foam Roller,Sports,4,807.5,3230.0,1047.21,2023-02-06,South,15.0
ORD01042,CUST0028,Jump Rope Pro,Sports,2,380,760,198.64,2023-02-06,South,0
ORD01582,CUST0253,Wireless Headphones,Electronics,5,7650.0,38250.0,5749.32,2023-02-06,North,10.0
ORD00119,CUST0254,Blender 1000W,Home & Kitchen,4,2800.0,11200.0,3517.64,2023-02-07,East,20.0
ORD00610,CUST0298,Yoga Mat Premium,Sports,4,1440.0,5760.0,1878.95,2023-02-07,Central,20.0
ORD01755,CUST0153,Business Analytics,Books,5,580,2900,1077.2,2023-02-07,North,0
ORD00197,CUST0181,Yoga Mat Premium,Sports,1,1800,1800,545.6,2023-02-08,Central,0
ORD00805,CUST0111,Business Analytics,Books,3,580,1740,561.06,2023-02-08,Central,0
ORD00889,CUST0231,Bed Sheet Set,Home & Kitchen,2,2800,5600,1632.85,2023-02-08,West,0
ORD01194,CUST0142,Yoga Mat Premium,Sports,1,1800,1800,419.12,2023-02-09,South,0
ORD01605,CUST0128,Air Fryer Deluxe,Home & Kitchen,3,7500,22500,6427.4,2023-02-09,Central,0
ORD00038,CUST0207,Wireless Headphones,Electronics,5,8500,42500,5860.41,2023-02-10,North,0
ORD00708,CUST0011,Python Mastery,Books,3,637.5,1912.5,625.29,2023-02-10,West,15.0
ORD01789,CUST0225,Yoga Mat Premium,Sports,1,1800,1800,658.98,2023-02-10,West,0
ORD00269,CUST0074,Protein Shaker,Sports,5,405.0,2025.0,591.81,2023-02-11,South,10.0
ORD01912,CUST0292,Bed Sheet Set,Home & Kitchen,3,2800,8400,2237.6,2023-02-11,North,0
ORD00856,CUST0230,Smart Watch Series 5,Electronics,3,19800.0,59400.0,8808.29,2023-02-12,West,10.0
ORD00928,CUST0094,Protein Shaker,Sports,2,450,900,236.54,2023-02-12,South,0
ORD01269,CUST0032,Laptop Pro X1,Electronics,1,72250.0,72250.0,9988.17,2023-02-12,East,15.0
ORD01529,CUST0201,Non-stick Cookware Set,Home & Kitchen,4,6800,27200,6702.04,2023-02-12,Central,0
ORD01942,CUST0073,Running Shoes,Clothing,4,4500,18000,7358.59,2023-02-12,South,0
ORD00489,CUST0089,USB-C Hub,Electronics,2,2560.0,5120.0,508.28,2023-02-13,South,20.0
ORD00659,CUST0253,Laptop Pro X1,Electronics,1,68000.0,68000.0,11268.21,2023-02-13,Central,20.0
ORD01173,CUST0154,Protein Shaker,Sports,3,450,1350,322.48,2023-02-13,West,0
ORD01590,CUST0040,Slim Fit Jeans,Clothing,2,2090.0,4180.0,1195.98,2023-02-14,North,5.0
ORD01706,CUST0140,Mechanical Keyboard,Electronics,3,5525.0,16575.0,2119.5,2023-02-14,North,15.0
ORD00058,CUST0262,Machine Learning A-Z,Books,4,738.0,2952.0,997.82,2023-02-15,North,10.0
ORD00367,CUST0056,Yoga Mat Premium,Sports,3,1800,5400,1816.88,2023-02-15,South,0
ORD01314,CUST0276,Bed Sheet Set,Home & Kitchen,2,2380.0,4760.0,1022.69,2023-02-15,Central,15.0
ORD00328,CUST0241,Data Science Handbook,Books,2,650,1300,471.36,2023-02-16,East,0
ORD00527,CUST0197,Slim Fit Jeans,Clothing,5,2200,11000,3117.44,2023-02-16,Central,0
ORD00541,CUST0185,Smart Watch Series 5,Electronics,4,18700.0,74800.0,6850.94,2023-02-16,East,15.0
ORD00559,CUST0150,Non-stick Cookware Set,Home & Kitchen,5,6800,34000,10380.69,2023-02-16,Central,0
ORD00594,CUST0004,Mechanical Keyboard,Electronics,1,5200.0,5200.0,803.89,2023-02-16,Central,20.0
ORD01035,CUST0182,Winter Jacket,Clothing,5,4930.0,24650.0,9851.33,2023-02-16,Central,15.0
ORD01119,CUST0210,Mechanical Keyboard,Electronics,2,6175.0,12350.0,1406.66,2023-02-16,West,5.0
ORD01124,CUST0044,Jump Rope Pro,Sports,5,380,1900,555.41,2023-02-16,Central,0
ORD00926,CUST0134,Coffee Maker Pro,Home & Kitchen,4,4200,16800,5806.22,2023-02-18,South,0
ORD01325,CUST0293,Protein Shaker,Sports,5,450,2250,741.02,2023-02-19,East,0
ORD00144,CUST0203,Air Fryer Deluxe,Home & Kitchen,1,6750.0,6750.0,2225.88,2023-02-20,East,10.0
ORD00181,CUST0044,Foam Roller,Sports,2,950,1900,676.02,2023-02-20,North,0
ORD00496,CUST0206,Sports Shorts,Clothing,4,900,3600,1397.17,2023-02-20,North,0
ORD01882,CUST0277,Cotton T-Shirt Pack,Clothing,4,960.0,3840.0,1115.29,2023-02-20,Central,20.0
ORD00815,CUST0026,Jump Rope Pro,Sports,1,361.0,361.0,138.12,2023-02-21,South,5.0
ORD00046,CUST0136,Coffee Maker Pro,Home & Kitchen,4,4200,16800,5641.45,2023-02-22,Central,0
ORD00779,CUST0077,Bed Sheet Set,Home & Kitchen,2,2800,5600,1766.09,2023-02-22,South,0
ORD01072,CUST0104,Resistance Bands Set,Sports,5,960.0,4800.0,1776.44,2023-02-22,East,20.0
ORD01461,CUST0285,Python Mastery,Books,2,675.0,1350.0,579.0,2023-02-22,West,10.0
ORD01809,CUST0298,Sports Shorts,Clothing,4,900,3600,1286.59,2023-02-22,West,0
ORD00895,CUST0172,Business Analytics,Books,4,580,2320,744.45,2023-02-23,Central,0
ORD01350,CUST0177,Cotton T-Shirt Pack,Clothing,1,960.0,960.0,371.41,2023-02-23,Central,20.0
ORD00571,CUST0007,Blender 1000W,Home & Kitchen,1,3500,3500,899.96,2023-02-24,Central,0
ORD01328,CUST0065,Resistance Bands Set,Sports,4,1080.0,4320.0,1522.26,2023-02-24,South,10.0
ORD00591,CUST0013,Wireless Headphones,Electronics,3,8500,25500,2263.18,2023-02-25,West,0
ORD01158,CUST0127,Non-stick Cookware Set,Home & Kitchen,4,6800,27200,9351.91,2023-02-25,North,0
ORD01242,CUST0118,Air Fryer Deluxe,Home & Kitchen,3,7500,22500,5194.63,2023-02-25,East,0
ORD01660,CUST0201,Blender 1000W,Home & Kitchen,4,3325.0,13300.0,3180.1,2023-02-25,West,5.0
ORD00304,CUST0299,Wireless Headphones,Electronics,1,7650.0,7650.0,952.79,2023-02-26,West,10.0
ORD00137,CUST0228,Laptop Pro X1,Electronics,3,85000,255000,21572.77,2023-02-27,South,0
ORD00733,CUST0154,Yoga Mat Premium,Sports,5,1710.0,8550.0,2001.78,2023-02-27,North,5.0
ORD00877,CUST0256,Protein Shaker,Sports,4,450,1800,408.0,2023-02-27,Central,0
ORD01012,CUST0141,Cotton T-Shirt Pack,Clothing,4,1200,4800,2028.38,2023-02-27,West,0
ORD01299,CUST0076,Yoga Mat Premium,Sports,4,1530.0,6120.0,2273.57,2023-02-27,West,15.0
ORD01432,CUST0231,Machine Learning A-Z,Books,1,738.0,738.0,365.67,2023-02-28,East,10.0
ORD00035,CUST0285,Blender 1000W,Home & Kitchen,2,3500,7000,1711.54,2023-03-01,West,0
ORD00790,CUST0212,Bed Sheet Set,Home & Kitchen,2,2380.0,4760.0,1101.26,2023-03-01,Central,15.0
ORD00544,CUST0245,Blender 1000W,Home & Kitchen,2,3500,7000,1539.14,2023-03-02,West,0
ORD01292,CUST0111,Jump Rope Pro,Sports,3,323.0,969.0,381.76,2023-03-02,West,15.0
ORD00901,CUST0104,Non-stick Cookware Set,Home & Kitchen,2,6800,13600,4132.11,2023-03-03,East,0
ORD01167,CUST0228,Clean Code,Books,2,520,1040,477.78,2023-03-03,South,0
ORD01408,CUST0173,Clean Code,Books,1,520,520,167.57,2023-03-03,West,0
ORD00317,CUST0074,Running Shoes,Clothing,2,4275.0,8550.0,2651.36,2023-03-04,Central,5.0
ORD01094,CUST0174,Laptop Pro X1,Electronics,4,68000.0,272000.0,26229.63,2023-03-04,East,20.0
ORD01547,CUST0050,Bed Sheet Set,Home & Kitchen,5,2660.0,13300.0,4037.73,2023-03-04,East,5.0
ORD00572,CUST0137,Wireless Headphones,Electronics,3,7225.0,21675.0,2277.09,2023-03-05,South,15.0
ORD01710,CUST0215,Slim Fit Jeans,Clothing,1,2090.0,2090.0,788.97,2023-03-05,North,5.0
ORD00876,CUST0099,Slim Fit Jeans,Clothing,5,2200,11000,3826.31,2023-03-06,North,0
ORD00882,CUST0059,Laptop Pro X1,Electronics,5,68000.0,340000.0,48131.37,2023-03-06,West,20.0
ORD00884,CUST0165,Resistance Bands Set,Sports,1,1080.0,1080.0,271.32,2023-03-06,South,10.0
ORD00680,CUST0041,Running Shoes,Clothing,2,4275.0,8550.0,2313.65,2023-03-07,South,5.0
ORD01002,CUST0078,Cotton T-Shirt Pack,Clothing,4,1140.0,4560.0,1430.61,2023-03-07,East,5.0
ORD00243,CUST0228,Python Mastery,Books,3,637.5,1912.5,706.64,2023-03-08,North,15.0
ORD00448,CUST0299,Air Fryer Deluxe,Home & Kitchen,3,6000.0,18000.0,3802.47,2023-03-08,Central,20.0
ORD01801,CUST0247,Sports Shorts,Clothing,4,855.0,3420.0,864.74,2023-03-08,South,5.0
ORD01131,CUST0138,Data Science Handbook,Books,3,617.5,1852.5,760.68,2023-03-09,North,5.0
ORD01816,CUST0164,Data Science Handbook,Books,4,617.5,2470.0,821.59,2023-03-09,Central,5.0
ORD00602,CUST0282,Yoga Mat Premium,Sports,5,1800,9000,2450.86,2023-03-10,West,0
ORD00915,CUST0188,Yoga Mat Premium,Sports,2,1530.0,3060.0,980.98,2023-03-10,East,15.0
ORD00996,CUST0048,Sports Shorts,Clothing,1,810.0,810.0,257.07,2023-03-10,Central,10.0
ORD00978,CUST0069,Python Mastery,Books,1,637.5,637.5,197.99,2023-03-11,North,15.0
ORD00022,CUST0124,Slim Fit Jeans,Clothing,1,2200,2200,872.04,2023-03-12,Central,0
ORD00042,CUST0110,Mechanical Keyboard,Electronics,3,6500,19500,3379.86,2023-03-12,Central,0
ORD00307,CUST0177,USB-C Hub,Electronics,5,3200,16000,2775.33,2023-03-12,North,0
ORD00692,CUST0146,Protein Shaker,Sports,3,427.5,1282.5,325.55,2023-03-12,Central,5.0
ORD01171,CUST0177,USB-C Hub,Electronics,2,2720.0,5440.0,929.42,2023-03-12,South,15.0
ORD00868,CUST0055,Sports Shorts,Clothing,3,900,2700,693.82,2023-03-14,West,0
ORD01254,CUST0197,Business Analytics,Books,3,493.0,1479.0,735.81,2023-03-14,West,15.0
ORD00112,CUST0279,Data Science Handbook,Books,2,650,1300,604.92,2023-03-15,South,0
ORD00676,CUST0173,Cotton T-Shirt Pack,Clothing,5,1080.0,5400.0,1787.15,2023-03-15,West,10.0
ORD00306,CUST0203,Air Fryer Deluxe,Home & Kitchen,1,6375.0,6375.0,1483.37,2023-03-16,East,15.0
ORD00323,CUST0138,Slim Fit Jeans,Clothing,5,1980.0,9900.0,2553.3,2023-03-16,West,10.0
ORD00650,CUST0134,Yoga Mat Premium,Sports,4,1620.0,6480.0,1549.78,2023-03-16,South,10.0
ORD01219,CUST0130,Python Mastery,Books,5,750,3750,1471.63,2023-03-16,South,0
ORD01839,CUST0294,Yoga Mat Premium,Sports,5,1530.0,7650.0,3050.29,2023-03-16,West,15.0
ORD00242,CUST0147,Python Mastery,Books,2,750,1500,490.72,2023-03-17,West,0
ORD01792,CUST0108,Winter Jacket,Clothing,1,5800,5800,2194.76,2023-03-17,East,0
ORD00048,CUST0227,Coffee Maker Pro,Home & Kitchen,4,3780.0,15120.0,3045.93,2023-03-19,Central,10.0
ORD00149,CUST0247,Running Shoes,Clothing,3,3600.0,10800.0,2948.77,2023-03-19,East,20.0
ORD00994,CUST0154,Coffee Maker Pro,Home & Kitchen,4,4200,16800,4612.32,2023-03-19,East,0
ORD00620,CUST0004,Clean Code,Books,2,494.0,988.0,329.12,2023-03-20,Central,5.0
ORD01060,CUST0268,Coffee Maker Pro,Home & Kitchen,3,3780.0,11340.0,2349.19,2023-03-20,West,10.0
ORD01625,CUST0210,Winter Jacket,Clothing,1,5800,5800,2100.13,2023-03-20,East,0
ORD00430,CUST0165,Python Mastery,Books,4,637.5,2550.0,928.17,2023-03-21,South,15.0
ORD00469,CUST0290,Resistance Bands Set,Sports,4,1200,4800,1342.13,2023-03-21,North,0
ORD01414,CUST0191,Slim Fit Jeans,Clothing,2,2200,4400,1195.39,2023-03-21,West,0
ORD01742,CUST0001,Bed Sheet Set,Home & Kitchen,5,2240.0,11200.0,2908.94,2023-03-21,Central,20.0
ORD01465,CUST0079,Data Science Handbook,Books,5,552.5,2762.5,1129.13,2023-03-22,North,15.0
ORD00642,CUST0223,Winter Jacket,Clothing,1,5800,5800,1707.25,2023-03-23,North,0
ORD01331,CUST0157,Air Fryer Deluxe,Home & Kitchen,3,6000.0,18000.0,3843.38,2023-03-23,West,20.0
ORD01493,CUST0155,USB-C Hub,Electronics,3,2560.0,7680.0,879.99,2023-03-23,East,20.0
ORD01805,CUST0139,Yoga Mat Premium,Sports,5,1440.0,7200.0,2544.67,2023-03-23,Central,20.0
ORD00339,CUST0125,Machine Learning A-Z,Books,3,697.0,2091.0,973.6,2023-03-24,South,15.0
ORD01780,CUST0115,Mechanical Keyboard,Electronics,5,5850.0,29250.0,3812.33,2023-03-24,South,10.0
ORD01184,CUST0065,Smart Watch Series 5,Electronics,5,20900.0,104500.0,10546.53,2023-03-25,Central,5.0
ORD01682,CUST0248,Blender 1000W,Home & Kitchen,5,2800.0,14000.0,4353.34,2023-03-25,Central,20.0
ORD01351,CUST0005,Blender 1000W,Home & Kitchen,4,3500,14000,3392.67,2023-03-26,West,0
ORD01877,CUST0158,Running Shoes,Clothing,4,4050.0,16200.0,7239.17,2023-03-26,West,10.0
ORD00681,CUST0028,Machine Learning A-Z,Books,4,738.0,2952.0,1337.25,2023-03-27,North,10.0
ORD01007,CUST0022,Resistance Bands Set,Sports,1,1200,1200,449.67,2023-03-27,West,0
ORD01058,CUST0080,Python Mastery,Books,5,637.5,3187.5,1368.86,2023-03-27,West,15.0
ORD01133,CUST0285,Wireless Headphones,Electronics,3,7650.0,22950.0,2769.48,2023-03-27,South,10.0
ORD01476,CUST0059,Running Shoes,Clothing,1,4500,4500,1249.71,2023-03-27,South,0
ORD00354,CUST0167,Mechanical Keyboard,Electronics,1,6500,6500,788.98,2023-03-28,West,0
ORD00851,CUST0249,Coffee Maker Pro,Home & Kitchen,5,3360.0,16800.0,3443.39,2023-03-28,South,20.0
ORD00599,CUST0003,Laptop Pro X1,Electronics,5,80750.0,403750.0,53987.51,2023-03-29,Central,5.0
ORD01080,CUST0083,Blender 1000W,Home & Kitchen,2,3500,7000,2125.23,2023-03-30,Central,0
ORD00390,CUST0017,Running Shoes,Clothing,3,4500,13500,5702.94,2023-03-31,West,0
ORD00523,CUST0087,Coffee Maker Pro,Home & Kitchen,2,3990.0,7980.0,2535.9,2023-04-01,Central,5.0
ORD00553,CUST0041,Python Mastery,Books,4,600.0,2400.0,995.06,2023-04-01,West,20.0
ORD00289,CUST0148,Python Mastery,Books,3,637.5,1912.5,596.38,2023-04-02,East,15.0
ORD00909,CUST0068,Python Mastery,Books,3,750,2250,966.44,2023-04-03,East,0
ORD01008,CUST0153,Bed Sheet Set,Home & Kitchen,4,2800,11200,3368.41,2023-04-03,North,0
ORD01716,CUST0291,Blender 1000W,Home & Kitchen,5,3325.0,16625.0,3544.85,2023-04-03,North,5.0
ORD00641,CUST0027,Bed Sheet Set,Home & Kitchen,4,2380.0,9520.0,1911.56,2023-04-04,South,15.0
ORD00705,CUST0080,Machine Learning A-Z,Books,1,820,820,271.86,2023-04-04,East,0
ORD01588,CUST0100,Non-stick Cookware Set,Home & Kitchen,4,6800,27200,6411.73,2023-04-05,East,0
ORD01862,CUST0081,Resistance Bands Set,Sports,1,1200,1200,457.79,2023-04-05,North,0
ORD00096,CUST0124,Machine Learning A-Z,Books,4,779.0,3116.0,1428.96,2023-04-06,West,5.0
ORD00398,CUST0250,Blender 1000W,Home & Kitchen,5,3500,17500,5780.88,2023-04-06,East,0
ORD01743,CUST0256,Cotton T-Shirt Pack,Clothing,1,1200,1200,372.47,2023-04-06,South,0
ORD01522,CUST0269,Coffee Maker Pro,Home & Kitchen,2,3360.0,6720.0,1491.76,2023-04-07,Central,20.0
ORD00170,CUST0212,Python Mastery,Books,4,712.5,2850.0,1092.11,2023-04-08,East,5.0
ORD01159,CUST0122,Bed Sheet Set,Home & Kitchen,5,2520.0,12600.0,3348.82,2023-04-08,North,10.0
ORD01324,CUST0270,Wireless Headphones,Electronics,5,6800.0,34000.0,5463.11,2023-04-08,East,20.0
ORD01655,CUST0201,Clean Code,Books,3,468.0,1404.0,556.25,2023-04-09,Central,10.0
ORD00217,CUST0198,Coffee Maker Pro,Home & Kitchen,3,4200,12600,2573.27,2023-04-12,North,0
ORD01901,CUST0291,Wireless Headphones,Electronics,1,7225.0,7225.0,1261.45,2023-04-12,South,15.0
ORD00041,CUST0038,Business Analytics,Books,4,522.0,2088.0,1043.35,2023-04-13,North,10.0
ORD00132,CUST0019,Winter Jacket,Clothing,5,5220.0,26100.0,8258.01,2023-04-13,South,10.0
ORD00493,CUST0076,Python Mastery,Books,5,675.0,3375.0,1524.4,2023-04-13,Central,10.0
ORD01853,CUST0009,USB-C Hub,Electronics,4,2560.0,10240.0,1249.29,2023-04-13,North,20.0
ORD00313,CUST0215,Laptop Pro X1,Electronics,1,85000,85000,8551.69,2023-04-14,Central,0
ORD01470,CUST0040,Slim Fit Jeans,Clothing,3,1760.0,5280.0,1539.62,2023-04-14,West,20.0
ORD00389,CUST0022,Bed Sheet Set,Home & Kitchen,5,2800,14000,4878.53,2023-04-15,West,0
ORD00407,CUST0245,Python Mastery,Books,2,712.5,1425.0,452.96,2023-04-15,North,5.0
ORD00446,CUST0232,USB-C Hub,Electronics,5,3200,16000,1431.56,2023-04-15,Central,0
ORD00554,CUST0162,Clean Code,Books,4,442.0,1768.0,761.43,2023-04-16,North,15.0
ORD01353,CUST0220,Coffee Maker Pro,Home & Kitchen,4,3570.0,14280.0,4532.58,2023-04-16,South,15.0
ORD00174,CUST0217,Business Analytics,Books,3,522.0,1566.0,567.66,2023-04-17,North,10.0
ORD00564,CUST0091,Machine Learning A-Z,Books,2,697.0,1394.0,645.49,2023-04-17,Central,15.0
ORD01896,CUST0254,Sports Shorts,Clothing,5,855.0,4275.0,1637.86,2023-04-17,South,5.0
ORD01911,CUST0273,Running Shoes,Clothing,4,4500,18000,7816.53,2023-04-17,East,0
ORD01946,CUST0223,Clean Code,Books,1,494.0,494.0,150.55,2023-04-17,West,5.0
ORD01970,CUST0087,Yoga Mat Premium,Sports,3,1800,5400,1327.47,2023-04-17,East,0
ORD01105,CUST0294,Non-stick Cookware Set,Home & Kitchen,4,6120.0,24480.0,7604.15,2023-04-18,South,10.0
ORD01323,CUST0006,Running Shoes,Clothing,4,4500,18000,5863.08,2023-04-18,North,0
ORD00535,CUST0054,Winter Jacket,Clothing,5,5800,29000,8889.7,2023-04-19,Central,0
ORD01048,CUST0063,Smart Watch Series 5,Electronics,3,19800.0,59400.0,10271.14,2023-04-19,West,10.0
ORD01086,CUST0026,Yoga Mat Premium,Sports,4,1440.0,5760.0,2050.78,2023-04-19,West,20.0
ORD01363,CUST0122,Protein Shaker,Sports,2,405.0,810.0,234.19,2023-04-19,East,10.0
ORD00658,CUST0104,Cotton T-Shirt Pack,Clothing,5,1200,6000,1687.19,2023-04-20,South,0
ORD01011,CUST0300,Non-stick Cookware Set,Home & Kitchen,2,6460.0,12920.0,3006.5,2023-04-20,West,5.0
ORD01415,CUST0172,Bed Sheet Set,Home & Kitchen,2,2800,5600,1256.72,2023-04-20,North,0
ORD01546,CUST0044,Data Science Handbook,Books,3,520.0,1560.0,775.69,2023-04-20,North,20.0
ORD01556,CUST0253,Mechanical Keyboard,Electronics,3,6175.0,18525.0,2196.73,2023-04-20,East,5.0
